N,Sensor,Location,Id,date,GS,year_scene
341,MOD_terra,Slovenia,MOD13Q1.A2014337,03/12/2014,GS15,22
342,MOD_terra,Slovenia,MOD13Q1.A2014353,19/12/2014,GS15,23
343,MOD_terra,Slovenia,MOD13Q1.A2015001,01/01/2015,GS16,1
344,MOD_terra,Slovenia,MOD13Q1.A2015017,01/01/2015,GS16,2
345,MOD_terra,Slovenia,MOD13Q1.A2015033,02/02/2015,GS16,3
346,MOD_terra,Slovenia,MOD13Q1.A2015049,18/02/2015,GS16,4
347,MOD_terra,Slovenia,MOD13Q1.A2015065,06/03/2015,GS16,5
348,MOD_terra,Slovenia,MOD13Q1.A2015081,22/03/2015,GS16,6
349,MOD_terra,Slovenia,MOD13Q1.A2015097,07/04/2015,GS16,7
350,MOD_terra,Slovenia,MOD13Q1.A2015113,23/04/2015,GS16,8
351,MOD_terra,Slovenia,MOD13Q1.A2015129,09/05/2015,GS16,9
352,MOD_terra,Slovenia,MOD13Q1.A2015145,25/05/2015,GS16,10
353,MOD_terra,Slovenia,MOD13Q1.A2015161,10/06/2015,GS16,11
354,MOD_terra,Slovenia,MOD13Q1.A2015177,26/06/2015,GS16,12
355,MOD_terra,Slovenia,MOD13Q1.A2015193,12/07/2015,GS16,13
356,MOD_terra,Slovenia,MOD13Q1.A2015209,28/07/2015,GS16,14
357,MOD_terra,Slovenia,MOD13Q1.A2015225,13/08/2015,GS16,15
358,MOD_terra,Slovenia,MOD13Q1.A2015241,29/08/2015,GS16,16
359,MOD_terra,Slovenia,MOD13Q1.A2015257,14/09/2015,GS16,17
360,MOD_terra,Slovenia,MOD13Q1.A2015273,30/09/2015,GS16,18
361,MOD_terra,Slovenia,MOD13Q1.A2015289,16/10/2015,GS16,19
362,MOD_terra,Slovenia,MOD13Q1.A2015305,01/11/2015,GS16,20
363,MOD_terra,Slovenia,MOD13Q1.A2015321,17/11/2015,GS16,21
364,MOD_terra,Slovenia,MOD13Q1.A2015337,03/12/2015,GS16,22
365,MOD_terra,Slovenia,MOD13Q1.A2015353,19/12/2015,GS16,23
